0,0,1,37.466000,15.918000,0.955000,0.186227,-0.510000,-0.270000,0.955000,0.191683
1,1,0,-25.582000,94.998000,0.971000,0.195826,-0.200000,-0.090000,0.971393,0.201108
2,2,0,56.386000,55.142000,0.968000,0.201760,-0.390000,-0.100000,0.967692,0.207100
3,3,1,145.445000,96.213000,0.998000,0.266686,-0.390000,-0.120000,0.998000,0.271982
4,4,0,98.273000,84.554000,1.002000,0.274540,0.000000,0.000000,1.001984,0.279749
5,5,1,80.937000,99.764000,0.990000,0.226893,-0.520000,-0.220000,0.990000,0.232157
6,6,0,38.668000,78.368000,0.989000,0.219213,-0.190000,-0.020000,0.989328,0.224402
7,7,1,74.647000,56.032000,1.015000,0.362505,-0.280000,0.000000,1.015000,0.367374
8,8,0,32.939000,89.448000,1.043000,0.489041,0.000000,0.000000,1.042918,0.493982
9,9,1,0.226000,126.820000,1.050000,0.621512,4.500000,0.000000,1.050000,0.626294
10,10,0,55.686000,46.348000,0.985000,0.222006,-0.700000,-0.230000,0.985089,0.227170
11,11,1,-4.952000,64.914000,0.990000,0.212930,0.380000,-0.100000,0.990000,0.218151
12,12,0,113.301000,-112.685000,0.968000,0.198095,-0.340000,-0.160000,0.968303,0.203173
13,13,0,129.481000,-34.399000,0.984000,0.200713,-0.140000,-0.010000,0.983591,0.205651
14,14,1,164.237000,-73.578000,0.970000,0.196000,-0.900000,-0.300000,0.970000,0.200523
15,15,0,11.303000,40.095000,0.984000,0.207869,-0.250000,-0.100000,0.983912,0.212890
16,16,0,39.561000,53.019000,0.995000,0.239808,-0.110000,-0.030000,0.995135,0.244447
17,17,1,22.499000,68.643000,0.973000,0.201236,-0.600000,-0.340000,0.973000,0.205821
18,18,1,135.876000,-51.480000,0.963000,0.192859,-0.450000,-0.250000,0.963000,0.197467
19,19,0,-67.150000,34.436000,0.958000,0.208218,-0.180000,-0.030000,0.957756,0.212788
20,20,0,-94.186000,20.984000,0.959000,0.235969,-0.140000,-0.080000,0.958411,0.240482
21,21,0,-112.090000,-3.834000,0.970000,0.280649,-0.100000,-0.050000,0.969541,0.285042
22,22,0,-91.897000,17.666000,1.000000,0.366519,-0.070000,-0.030000,0.999715,0.370867
23,23,1,-48.453000,-8.953000,0.992000,0.364599,-0.130000,0.000000,0.992000,0.368574
24,24,1,-114.661000,-12.458000,1.050000,0.487470,2.200000,0.000000,1.050000,0.491903
25,25,1,-9.420000,45.862000,1.015000,0.518537,3.140000,0.000000,1.015000,0.522980
26,26,1,-68.973000,24.911000,0.968000,0.267908,-0.710000,-0.130000,0.968000,0.272503
27,27,0,-34.594000,-0.639000,0.962000,0.237714,-0.170000,-0.070000,0.961568,0.242408
28,28,0,-109.920000,-16.124000,0.963000,0.220435,-0.240000,-0.040000,0.963216,0.225094
29,29,0,20.118000,27.256000,0.968000,0.327947,0.000000,0.000000,0.985533,0.332307
30,30,1,-148.801000,-1.194000,0.967000,0.222529,-0.360000,-0.270000,0.967000,0.227136
31,31,1,-123.884000,-18.190000,0.964000,0.258309,-0.590000,-0.230000,0.964000,0.262746
32,32,0,206.842000,-61.777000,0.972000,0.185528,-0.230000,-0.090000,0.971607,0.189612
33,33,1,184.606000,-76.358000,0.986000,0.197222,-0.590000,-0.260000,0.986000,0.200799
34,34,0,176.956000,-39.529000,0.981000,0.189717,-0.330000,-0.090000,0.980695,0.193382
35,35,1,140.286000,-37.622000,0.980000,0.189717,-0.310000,-0.170000,0.980000,0.193464
