0,0,0,0,0,9.347961,-30.735352
1,1,0,1,0,-2.780301,9.166735
2,2,0,2,0,-6.567660,21.586726
3,0,1,0,1,-2.780301,9.166735
4,1,1,1,1,7.292577,-24.010144
5,11,1,11,1,-4.512276,14.863968
6,0,2,0,2,-6.567660,21.586726
7,2,2,2,2,10.267965,-36.092912
8,4,2,4,2,-1.968181,8.820063
9,11,2,11,2,-1.732125,5.726032
10,3,3,3,3,30.398343,-132.797544
11,4,3,4,3,-26.355986,119.500434
12,10,3,10,3,-4.042358,13.306900
13,2,4,2,4,-1.968181,8.820063
14,3,4,3,4,-26.355986,119.500434
15,4,4,4,4,36.225314,-197.272861
16,5,4,5,4,-3.891929,17.660853
17,7,4,7,4,-0.000000,38.023537
18,10,4,10,4,-4.009219,13.469397
19,4,5,4,5,-3.891929,17.660853
20,5,5,5,5,14.008565,-63.495426
21,6,5,6,5,-10.116637,45.844454
22,5,6,5,6,-10.116637,45.844454
23,6,6,6,6,17.123033,-73.472771
24,11,6,11,6,-7.006396,27.635437
25,4,7,4,7,-0.000000,38.023537
26,7,7,7,7,4.290696,-90.040184
27,8,7,8,7,-2.606271,32.578384
28,29,7,29,7,-1.684425,19.697225
29,7,8,7,8,-2.606271,32.578384
30,8,8,8,8,5.078728,-62.240181
31,9,8,9,8,-2.472457,30.857797
32,8,9,8,9,-2.472457,30.857797
33,9,9,9,9,2.472457,-30.242797
34,3,10,3,10,-4.042358,13.306900
35,4,10,4,10,-4.009219,13.469397
36,10,10,10,10,26.043814,-85.982274
37,11,10,11,10,-14.181439,46.715328
38,12,10,12,10,-3.810798,12.519969
39,1,11,1,11,-4.512276,14.863968
40,2,11,2,11,-1.732125,5.726032
41,6,11,6,11,-7.006396,27.635437
42,10,11,10,11,-14.181439,46.715328
43,11,11,11,11,35.823085,-125.846707
44,13,11,13,11,-3.937195,12.946963
45,15,11,15,11,-2.862930,11.262660
46,116,11,116,11,-1.590724,6.769037
47,10,12,10,12,-3.810798,12.519969
48,12,12,12,12,4.950736,-16.223884
49,14,12,14,12,-1.139938,3.744634
50,11,13,11,13,-3.937195,12.946963
51,13,13,13,13,5.368680,-17.604202
52,14,13,14,13,-1.431484,4.691419
53,12,14,12,14,-1.139938,3.744634
54,13,14,13,14,-1.431484,4.691419
55,14,14,14,14,18.225526,-59.885113
56,16,14,16,14,-6.334186,20.969994
57,18,14,18,14,-7.073970,23.226202
58,32,14,32,14,-2.245948,7.352524
59,11,15,11,15,-2.862930,11.262660
60,15,15,15,15,4.178980,-16.449378
61,16,15,16,15,-1.316050,5.220718
62,14,16,14,16,-6.334186,20.969994
63,15,16,15,16,-1.316050,5.220718
64,16,16,16,16,23.208166,-106.863766
65,17,16,17,16,-4.552959,18.693042
66,29,16,29,16,-0.000000,26.847079
67,30,16,30,16,-1.776848,5.859100
68,112,16,112,16,-9.228124,30.423496
69,16,17,16,17,-4.552959,18.693042
70,17,17,17,17,8.931396,-37.971010
71,18,17,18,17,-4.378438,19.290168
